2026-06-15 08:52:22 [INFO] INICIANDO | host=localhost porta=5000
2026-06-15 08:52:22 [INFO] CONECTADO | localhost:5000
2026-06-15 08:52:25 [INFO] DESCONECTADO
2026-06-15 08:53:12 [INFO] CONECTADO | localhost:5000
2026-06-15 08:53:12 [WARNING] LOGIN_FALHOU | ERRO: Credenciais invalidas. Tentativas restantes: 2
2026-06-15 08:53:21 [INFO] CONECTADO | localhost:5000
2026-06-15 08:53:21 [INFO] LOGIN_OK | usuario=admin
2026-06-15 08:53:21 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:53:25 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:53:26 [INFO] RECEBIDO | Comandos disponíveis:
  /msg <usuario> <texto>  — envia mensagem privada
  /usuarios               — lista usuários onli
2026-06-15 08:53:29 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:53:33 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:53:37 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:53:41 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:53:45 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:53:49 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:53:53 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:53:57 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:54:01 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:54:05 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:54:09 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:54:13 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:54:17 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:54:21 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:54:25 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:54:29 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:54:33 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:54:37 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:54:41 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:54:45 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:54:49 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:54:53 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:54:57 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:55:01 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:55:05 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:55:07 [INFO] RECEBIDO | [Servidor] Usuarios online: admin
2026-06-15 08:55:09 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:55:13 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:55:17 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:55:21 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:55:24 [INFO] MSG_PRIVADA_ENVIADA | para=admin
2026-06-15 08:55:24 [INFO] RECEBIDO | [Servidor] Voce nao pode enviar mensagem para si mesmo.
2026-06-15 08:55:25 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:55:29 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:55:33 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:55:37 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:55:41 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:55:45 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:55:49 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:55:53 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:55:57 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:56:01 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:56:05 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:56:09 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:56:13 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:56:17 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:56:21 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:56:25 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:56:29 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:56:33 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:56:37 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:56:41 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:56:45 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:56:49 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:56:53 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:56:57 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:57:01 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:57:05 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:57:09 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:57:13 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:57:17 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:57:21 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:57:25 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:57:29 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:57:33 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:57:37 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:57:41 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:57:45 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:57:49 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:57:53 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:57:57 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:58:01 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:58:05 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:58:09 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:58:13 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:58:17 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:58:21 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:58:25 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:58:29 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:58:33 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:58:37 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:58:41 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:58:45 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:58:49 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:58:53 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:58:57 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:59:01 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:59:05 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:59:09 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:59:13 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:59:17 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:59:21 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:59:25 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:59:29 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:59:33 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:59:37 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:59:41 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:59:45 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:59:49 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:59:53 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 08:59:57 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:00:01 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:00:05 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:00:09 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:00:13 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:00:17 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:00:21 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:00:25 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:00:29 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:00:33 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:00:37 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:00:41 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:00:45 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:00:49 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:00:53 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:00:57 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:01 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:05 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:09 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:13 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:17 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:21 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:25 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:29 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:33 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:37 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:41 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:45 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:49 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:53 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:57 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:02:01 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:02:05 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:02:09 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:02:13 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:02:17 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:02:17 [WARNING] CONEXAO_ENCERRADA pelo servidor
